n,w_bits,s_bits,bucket_size,m_delimiters,e_bits,i_bits,s_required_bits,s_margin_bits,checks,trials,successes,failures,fail_rate,success_rate,avg_attempts_success,p50_attempts_success,p95_attempts_success,max_attempts_success,epsilon_target_query,theory_query_fp_by_s
16384,256,32,256,64,16,8,11,21,8,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
16384,512,8,256,64,16,8,12,-4,9,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03461191
16384,512,16,256,64,16,8,12,4,9,64,64,0,0.00000000,1.00000000,1.890625,1.00,4.00,6,0.00390625,0.00013732
16384,512,32,256,64,16,8,12,20,9,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
16384,1024,8,256,64,16,8,12,-4,10,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03838296
16384,1024,16,256,64,16,8,12,4,10,64,64,0,0.00000000,1.00000000,1.703125,1.00,4.00,4,0.00390625,0.00015258
16384,1024,32,256,64,16,8,12,20,10,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
16384,2048,8,256,64,16,8,12,-4,11,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.04213927
16384,2048,16,256,64,16,8,12,4,11,64,64,0,0.00000000,1.00000000,2.390625,2.00,7.00,9,0.00390625,0.00016783
16384,2048,32,256,64,16,8,12,20,11,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
32768,64,8,256,128,8,16,11,-3,6,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02320981
32768,64,16,256,128,8,16,11,5,6,64,64,0,0.00000000,1.00000000,2.453125,2.00,6.00,9,0.00390625,0.00009155
32768,64,32,256,128,8,16,11,21,6,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
32768,128,8,256,128,8,16,11,-3,7,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02702539
32768,128,16,256,128,8,16,11,5,7,64,64,0,0.00000000,1.00000000,2.390625,2.00,6.00,9,0.00390625,0.00010681
32768,128,32,256,128,8,16,11,21,7,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
32768,256,8,256,128,16,16,11,-3,8,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03082608
32768,256,16,256,128,16,16,11,5,8,64,64,0,0.00000000,1.00000000,3.843750,3.00,9.00,15,0.00390625,0.00012206
32768,256,32,256,128,16,16,11,21,8,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
32768,512,8,256,128,16,16,12,-4,9,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03461191
32768,512,16,256,128,16,16,12,4,9,64,64,0,0.00000000,1.00000000,3.953125,3.00,11.00,18,0.00390625,0.00013732
