n,w_bits,s_bits,bucket_size,m_delimiters,e_bits,i_bits,s_required_bits,s_margin_bits,checks,trials,successes,failures,fail_rate,success_rate,avg_attempts_success,p50_attempts_success,p95_attempts_success,max_attempts_success,avg_size_bytes_success,avg_size_bits_success,bpk,epsilon_target_query,theory_query_fp_by_s
8192,256,32,256,32,16,8,11,21,8,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,15928.000000,127424.000000,15.554688,0.00390625,0.00000000
8192,512,8,256,32,16,8,12,-4,9,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03461191
8192,512,16,256,32,16,8,12,4,9,1,1,0,0.00000000,1.00000000,3.000000,3.00,3.00,3,17104.000000,136832.000000,16.703125,0.00390625,0.00013732
8192,512,32,256,32,16,8,12,20,9,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,17104.000000,136832.000000,16.703125,0.00390625,0.00000000
8192,1024,8,256,32,16,8,12,-4,10,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03838296
8192,1024,16,256,32,16,8,12,4,10,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,18976.000000,151808.000000,18.531250,0.00390625,0.00015258
8192,1024,32,256,32,16,8,12,20,10,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,19136.000000,153088.000000,18.687500,0.00390625,0.00000000
8192,2048,8,256,32,16,8,12,-4,11,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.04213927
8192,2048,16,256,32,16,8,12,4,11,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,23344.000000,186752.000000,22.796875,0.00390625,0.00016783
8192,2048,32,256,32,16,8,12,20,11,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,23240.000000,185920.000000,22.695312,0.00390625,0.00000000
16384,64,8,256,64,8,8,11,-3,6,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.02320981
16384,64,16,256,64,8,8,11,5,6,1,1,0,0.00000000,1.00000000,2.000000,2.00,2.00,2,30536.000000,244288.000000,14.910156,0.00390625,0.00009155
16384,64,32,256,64,8,8,11,21,6,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,30640.000000,245120.000000,14.960938,0.00390625,0.00000000
16384,128,8,256,64,8,8,11,-3,7,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.02702539
16384,128,16,256,64,8,8,11,5,7,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,30968.000000,247744.000000,15.121094,0.00390625,0.00010681
